"SUID","interaction","name","selected","shared interaction","shared name"
"6938","linked_to","","false","linked_to",""
"8130","linked_to","","false","linked_to",""
"5739","child_of","","false","child_of",""
"6587","child_of","","false","child_of",""
"4357","child_of","","false","child_of",""
"8305","linked_to","","false","linked_to",""
"6607","child_of","","false","child_of",""
"5610","child_of","","false","child_of",""
"5874","child_of","","false","child_of",""
"4498","linked_to","","false","linked_to",""
"8615","child_of","","false","child_of",""
"8086","child_of","","false","child_of",""
"8864","child_of","","false","child_of",""
"5170","child_of","","false","child_of",""
"7795","linked_to","","false","linked_to",""
"5144","child_of","","false","child_of",""
"5137","child_of","","false","child_of",""
"7139","child_of","","false","child_of",""
"6400","linked_to","","false","linked_to",""
"4659","child_of","","false","child_of",""
"8750","child_of","","false","child_of",""
"4646","child_of","","false","child_of",""
"9151","child_of","","false","child_of",""
"7086","child_of","","false","child_of",""
"8220","linked_to","","false","linked_to",""
"4780","child_of","","false","child_of",""
"8177","child_of","","false","child_of",""
"7788","child_of","","false","child_of",""
"8716","linked_to","","false","linked_to",""
"6041","child_of","","false","child_of",""
"7157","child_of","","false","child_of",""
"5502","child_of","","false","child_of",""
"8680","child_of","","false","child_of",""
"4617","child_of","","false","child_of",""
"7273","child_of","","false","child_of",""
"7291","child_of","","false","child_of",""
"6208","child_of","","false","child_of",""
"5193","linked_to","","false","linked_to",""
"7479","child_of","","false","child_of",""
"8342","child_of","","false","child_of",""
"6806","child_of","","false","child_of",""
"5037","child_of","","false","child_of",""
"8337","child_of","","false","child_of",""
"6920","child_of","","false","child_of",""
"4377","linked_to","","false","linked_to",""
"7966","child_of","","false","child_of",""
"9421","linked_to","","false","linked_to",""
"5489","child_of","","false","child_of",""
"7641","child_of","","false","child_of",""
"4287","child_of","","false","child_of",""
"4214","child_of","","false","child_of",""
"5782","child_of","","false","child_of",""
"7296","child_of","","false","child_of",""
"5469","child_of","","false","child_of",""
"8248","child_of","","false","child_of",""
"9815","child_of","","false","child_of",""
"7266","child_of","","false","child_of",""
"9488","child_of","","false","child_of",""
"5437","child_of","","false","child_of",""
"7731","child_of","","false","child_of",""
"8885","linked_to","","false","linked_to",""
"8799","linked_to","","false","linked_to",""
"8608","child_of","","false","child_of",""
"6947","child_of","","false","child_of",""
"6817","linked_to","","false","linked_to",""
"4884","child_of","","false","child_of",""
"5915","child_of","","false","child_of",""
"7121","child_of","","false","child_of",""
"8286","child_of","","false","child_of",""
"9089","linked_to","","false","linked_to",""
"5252","child_of","","false","child_of",""
"9652","child_of","","false","child_of",""
"5548","child_of","","false","child_of",""
"5569","child_of","","false","child_of",""
"9729","child_of","","false","child_of",""
"6191","child_of","","false","child_of",""
"6054","child_of","","false","child_of",""
"6366","linked_to","","false","linked_to",""
"7305","child_of","","false","child_of",""
"6282","child_of","","false","child_of",""
"8035","linked_to","","false","linked_to",""
"6727","child_of","","false","child_of",""
"9179","child_of","","false","child_of",""
"8265","child_of","","false","child_of",""
"5524","child_of","","false","child_of",""
"6564","child_of","","false","child_of",""
"9931","child_of","","false","child_of",""
"7679","child_of","","false","child_of",""
"4800","child_of","","false","child_of",""
"9545","child_of","","false","child_of",""
"4251","child_of","","false","child_of",""
"9683","child_of","","false","child_of",""
"8678","linked_to","","false","linked_to",""
"4364","child_of","","false","child_of",""
"8937","linked_to","","false","linked_to",""
"7039","child_of","","false","child_of",""
"8494","child_of","","false","child_of",""
"7435","linked_to","","false","linked_to",""
"9563","linked_to","","false","linked_to",""
"9354","child_of","","false","child_of",""
"7310","child_of","","false","child_of",""
"4727","child_of","","false","child_of",""
"7380","child_of","","false","child_of",""
"6381","linked_to","","false","linked_to",""
"9934","child_of","","false","child_of",""
"7520","child_of","","false","child_of",""
"6956","child_of","","false","child_of",""
"6648","child_of","","false","child_of",""
"7361","child_of","","false","child_of",""
"8628","child_of","","false","child_of",""
"7000","child_of","","false","child_of",""
"4653","child_of","","false","child_of",""
"6684","child_of","","false","child_of",""
"4811","child_of","","false","child_of",""
"4682","child_of","","false","child_of",""
"9614","child_of","","false","child_of",""
"9063","child_of","","false","child_of",""
"6457","child_of","","false","child_of",""
"4660","child_of","","false","child_of",""
"8790","child_of","","false","child_of",""
"5089","linked_to","","false","linked_to",""
"8873","child_of","","false","child_of",""
"5716","child_of","","false","child_of",""
"5672","child_of","","false","child_of",""
"8330","child_of","","false","child_of",""
"9849","child_of","","false","child_of",""
"4855","linked_to","","false","linked_to",""
"5863","child_of","","false","child_of",""
"5638","linked_to","","false","linked_to",""
"4399","linked_to","","false","linked_to",""
"6319","linked_to","","false","linked_to",""
"7958","linked_to","","false","linked_to",""
"9057","linked_to","","false","linked_to",""
"7937","child_of","","false","child_of",""
"7171","child_of","","false","child_of",""
"6880","child_of","","false","child_of",""
"4979","child_of","","false","child_of",""
"7738","child_of","","false","child_of",""
"7180","linked_to","","false","linked_to",""
"9014","linked_to","","false","linked_to",""
"7790","linked_to","","false","linked_to",""
"7718","child_of","","false","child_of",""
"7528","child_of","","false","child_of",""
"8845","child_of","","false","child_of",""
"6811","linked_to","","false","linked_to",""
"8859","child_of","","false","child_of",""
"5191","child_of","","false","child_of",""
"9491","child_of","","false","child_of",""
