NeXO Term	SGD Gene ID
9524	S000000235
9483	S000000235
9503	S000000235
9500	S000000235
9505	S000000235
8852	S000000235
8854	S000000235
9389	S000000235
9920	S000000235
8261	S000000235
9550	S000000235
9535	S000000235
9120	S000000235
9587	S000000235
9830	S000000235
9615	S000000235
9081	S000000235
8387	S000000238
7342	S000000238
9025	S000000238
9126	S000000238
7110	S000000238
9830	S000000238
7081	S000000238
9920	S000000239
5086	S000000239
8806	S000000240
5778	S000000240
8112	S000000240
7612	S000000240
8190	S000000240
5780	S000000240
7801	S000000241
8078	S000000241
7171	S000000241
6715	S000000241
8565	S000000241
8573	S000000241
7894	S000000241
7896	S000000241
7893	S000000241
9344	S000000242
5723	S000000242
9713	S000000242
6209	S000000243
5492	S000000243
5695	S000000244
7788	S000000245
5139	S000000245
6533	S000000245
6994	S000000245
9400	S000000245
6331	S000000245
7397	S000000245
8234	S000000245
8822	S000000245
5343	S000000246
7911	S000000246
8011	S000000248
6351	S000000248
7168	S000000248
8190	S000000248
5874	S000000248
8954	S000000249
6345	S000000249
7007	S000000249
7081	S000000249
8498	S000000250
5663	S000000250
9250	S000000252
9519	S000000252
9816	S000000252
9249	S000000252
9538	S000000252
9533	S000000252
9524	S000000252
9483	S000000252
9503	S000000252
9500	S000000252
9505	S000000252
7848	S000000252
9186	S000000252
8687	S000000252
9022	S000000252
7550	S000000252
9561	S000000252
9245	S000000252
9127	S000000252
9051	S000000252
9587	S000000252
9235	S000000252
9615	S000000252
8777	S000000252
7466	S000000252
8500	S000000253
8507	S000000253
8924	S000000253
7975	S000000253
9047	S000000253
7605	S000000253
8323	S000000253
8591	S000000253
6076	S000000254
8817	S000000254
5182	S000000256
6041	S000000257
5941	S000000257
7551	S000000258
7876	S000000258
8949	S000000259
8503	S000000259
7685	S000000259
8635	S000000259
7552	S000000259
9597	S000000259
7789	S000000259
9105	S000000259
8693	S000000259
7951	S000000259
8102	S000000259
9385	S000000259
8393	S000000259
8525	S000000261
8137	S000000261
8424	S000000261
7247	S000000261
7370	S000000261
8503	S000000262
7792	S000000262
9211	S000000262
8628	S000000262
7120	S000000262
9278	S000000262
9920	S000000263
5830	S000000263
7726	S000000263
9079	S000000263
8817	S000000263
7870	S000000263
7869	S000000264
9508	S000000264
9199	S000000264
8199	S000000264
9713	S000000264
9213	S000000264
9428	S000000264
9152	S000000264
7270	S000000264
8924	S000000264
8438	S000000264
9494	S000000264
7120	S000000264
8372	S000000264
8969	S000000264
8968	S000000264
8817	S000000264
8813	S000000264
6036	S000000265
5664	S000000265
6551	S000000265
9048	S000000268
7980	S000000268
6633	S000000268
6283	S000000268
7449	S000000268
7989	S000000269
9597	S000000269
6329	S000000269
8813	S000000269
7690	S000000270
7919	S000000270
6273	S000000270
5362	S000000271
7287	S000000271
8503	S000000272
5674	S000000272
8112	S000000272
8069	S000000272
6270	S000000272
8628	S000000272
6515	S000000273
5677	S000000273
8073	S000000273
8069	S000000273
7005	S000000273
5157	S000000274
5868	S000000275
6840	S000000275
8303	S000000276
8661	S000000276
8893	S000000276
8977	S000000276
9318	S000000276
5335	S000000276
8606	S000000277
8709	S000000277
5565	S000000277
9494	S000000277
8626	S000000280
6259	S000000280
8090	S000000281
8626	S000000281
8627	S000000281
7085	S000000281
9344	S000000282
9366	S000000282
9365	S000000282
7491	S000000282
8473	S000000282
9306	S000000282
9037	S000000282
8275	S000000282
8512	S000000282
9079	S000000282
9475	S000000282
9304	S000000282
7469	S000000282
9524	S000000283
9505	S000000283
8688	S000000283
9776	S000000283
8043	S000000283
7550	S000000283
9561	S000000283
8240	S000000283
9403	S000000283
8782	S000000283
8158	S000000283
8576	S000000283
9615	S000000283
8957	S000000283
8941	S000000284
8806	S000000284
9592	S000000284
8841	S000000284
7559	S000000284
8298	S000000284
8073	S000000284
9015	S000000284
9046	S000000284
7112	S000000284
9496	S000000284
9071	S000000284
9207	S000000284
9651	S000000284
8794	S000000284
8805	S000000285
7566	S000000285
9003	S000000285
8661	S000000285
9676	S000000285
9113	S000000285
9830	S000000285
9382	S000000285
7188	S000000286
5528	S000000286
6365	S000000286
8712	S000000286
8477	S000000286
9920	S000000286
8424	S000000286
8910	S000000286
9212	S000000286
7247	S000000286
7370	S000000286
8013	S000000287
9344	S000000287
8521	S000000287
9357	S000000287
8992	S000000287
9597	S000000287
9365	S000000287
8727	S000000287
7766	S000000287
9306	S000000287
9920	S000000287
7158	S000000287
7014	S000000287
6563	S000000287
9475	S000000287
9304	S000000287
9816	S000000288
5896	S000000288
6143	S000000288
9533	S000000288
8748	S000000288
8281	S000000288
7775	S000000288
9587	S000000288
8696	S000000288
9830	S000000288
8989	S000000288
8960	S000000288
8754	S000000289
5645	S000000289
6892	S000000290
9920	S000000290
7160	S000000290
